Frame,UnityTime,StopwatchTime,TrialID,Event,Code
17042,287.1355,286.626816,39,DistractorOff,5
17167,289.2191,288.710496,39,TargetOn,6
17173,289.3191,288.810473,39,Choice,7
17268,290.9023,290.393622,40,TrialOn,1
17332,291.9691,291.460444,40,SampleOn,2
17361,292.4536,291.944898,40,SampleOff,3
17396,293.0365,292.527882,40,DistractorOn,4
17425,293.5199,293.011269,40,DistractorOff,5
17550,295.6035,295.094845,40,TargetOn,6
17556,295.7036,295.194888,40,Choice,7
17650,297.2696,296.760908,41,TrialOn,1
17714,298.337,297.828342,41,SampleOn,2
17743,298.821,298.312359,41,SampleOff,3
17778,299.4038,298.895126,41,DistractorOn,4
17808,299.9034,299.394802,41,DistractorOff,5
17933,301.9871,301.478411,41,TargetOn,6
17939,302.0869,301.578214,41,Choice,7
18033,303.6534,303.144746,42,TrialOn,1
18097,304.7209,304.212189,42,SampleOn,2
18127,305.2207,304.712091,42,SampleOff,3
18162,305.8041,305.29547,42,DistractorOn,4
18191,306.2873,305.778618,42,DistractorOff,5
18317,308.3875,307.87887,42,TargetOn,6
18323,308.4875,307.978837,42,Choice,7
18417,310.0541,309.545415,43,TrialOn,1
18481,311.1213,310.612666,43,SampleOn,2
18511,311.6214,311.1127,43,SampleOff,3
18546,312.2048,311.696142,43,DistractorOn,4
18576,312.7051,312.196418,43,DistractorOff,5
18702,314.8056,314.296971,43,TargetOn,6
18708,314.9056,314.396918,43,Choice,7
18802,316.4714,315.962712,44,TrialOn,1
18866,317.5386,317.029954,44,SampleOn,2
18895,318.0219,317.51323,44,SampleOff,3
18930,318.6059,318.097206,44,DistractorOn,4
18959,319.0887,318.580096,44,DistractorOff,5
19084,321.1727,320.66407,44,TargetOn,6
19090,321.2724,320.763777,44,Choice,7
19184,322.8389,322.330199,45,TrialOn,1
19248,323.906,323.39734,45,SampleOn,2
19278,324.4058,323.897135,45,SampleOff,3
19314,325.006,324.497397,45,DistractorOn,4
19344,325.5061,324.997465,45,DistractorOff,5
19469,327.59,327.081388,45,TargetOn,6
19475,327.6894,327.180781,45,Choice,7
19569,329.2561,328.747423,46,TrialOn,1
19633,330.3235,329.814794,46,SampleOn,2
19662,330.807,330.298348,46,SampleOff,3
19697,331.39,330.881355,46,DistractorOn,4
19727,331.8901,331.381452,46,DistractorOff,5
19852,333.9739,333.465255,46,TargetOn,6
19858,334.0737,333.565092,46,Choice,7
19952,335.64,335.131352,47,TrialOn,1
20016,336.7072,336.198503,47,SampleOn,2
20045,337.1906,336.68196,47,SampleOff,3
20080,337.7742,337.265557,47,DistractorOn,4
20109,338.2577,337.749045,47,DistractorOff,5
20234,340.3413,339.832629,47,TargetOn,6
20239,340.4243,339.915656,47,Choice,7
20333,341.9908,341.482145,48,TrialOn,1
20397,343.058,342.549322,48,SampleOn,2
20427,343.5583,343.04963,48,SampleOff,3
20462,344.1413,343.632668,48,DistractorOn,4
20491,344.6248,344.11611,48,DistractorOff,5
20616,346.7081,346.199413,48,TargetOn,6
20622,346.808,346.299308,48,Choice,7
20717,348.3913,347.882637,49,TrialOn,1
20781,349.4587,348.950038,49,SampleOn,2
20811,349.959,349.450373,49,SampleOff,3
20846,350.5422,350.033566,49,DistractorOn,4
20875,351.0253,350.516637,49,DistractorOff,5
21000,353.1086,352.599974,49,TargetOn,6
21005,353.1922,352.683567,49,Choice,7
21099,354.7586,354.249946,50,TrialOn,1
21163,355.8258,355.317112,50,SampleOn,2
21193,356.3264,355.817738,50,SampleOff,3
21228,356.9091,356.400468,50,DistractorOn,4
21258,357.4094,356.900706,50,DistractorOff,5
21384,359.5097,359.001045,50,TargetOn,6
21390,359.6096,359.100946,50,Choice,7
21485,361.1929,360.68426,51,TrialOn,1
21549,362.2599,361.751278,51,SampleOn,2
21578,362.7433,362.234597,51,SampleOff,3
21613,363.3264,362.81771,51,DistractorOn,4
21642,363.8101,363.30142,51,DistractorOff,5
21768,365.9102,365.40155,51,TargetOn,6
21773,365.9934,365.484797,51,Choice,7
21867,367.5599,367.051254,52,TrialOn,1
21931,368.6273,368.118656,52,SampleOn,2
21960,369.1105,368.601831,52,SampleOff,3
21995,369.6938,369.18516,52,DistractorOn,4
22025,370.1941,369.685462,52,DistractorOff,5
22150,372.2775,371.768821,52,TargetOn,6
22156,372.3777,371.869042,52,Choice,7
22250,373.9439,373.435213,53,TrialOn,1
22314,375.0112,374.502556,53,SampleOn,2
22343,375.4946,374.98591,53,SampleOff,3
22378,376.0782,375.569532,53,DistractorOn,4
22408,376.5781,376.069481,53,DistractorOff,5
22533,378.6617,378.153009,53,TargetOn,6
22539,378.7616,378.252989,53,Choice,7
22633,380.3279,379.819236,54,TrialOn,1
22697,381.3956,380.88695,54,SampleOn,2
22726,381.8784,381.369703,54,SampleOff,3
22761,382.4618,381.953155,54,DistractorOn,4
22790,382.9451,382.436429,54,DistractorOff,5
22916,385.0462,384.537563,54,TargetOn,6
22921,385.1288,384.6201,54,Choice,7
23015,386.6951,386.186462,55,TrialOn,1
23079,387.7628,387.254098,55,SampleOn,2
23108,388.2458,387.737099,55,SampleOff,3
23143,388.829,388.320347,55,DistractorOn,4
23172,389.3125,388.803887,55,DistractorOff,5
23297,391.3963,390.887654,55,TargetOn,6
23303,391.4963,390.987649,55,Choice,7
23397,393.0628,392.554133,56,TrialOn,1
23461,394.1295,393.620886,56,SampleOn,2
23490,394.6132,394.104551,56,SampleOff,3
23525,395.1964,394.687745,56,DistractorOn,4
23555,395.6964,395.187801,56,DistractorOff,5
23680,397.7814,397.272776,56,TargetOn,6
23686,397.8803,397.371699,56,Choice,7
23780,399.4467,398.93802,57,TrialOn,1
23844,400.5139,400.005244,57,SampleOn,2
23873,400.9973,400.48863,57,SampleOff,3
23908,401.5808,401.072174,57,DistractorOn,4
23938,402.0806,401.571941,57,DistractorOff,5
24063,404.1644,403.655781,57,TargetOn,6
24069,404.2643,403.755629,57,Choice,7
24163,405.8305,405.321834,58,TrialOn,1
24227,406.8977,406.389061,58,SampleOn,2
24257,407.3976,406.888977,58,SampleOff,3
24293,407.9976,407.488981,58,DistractorOn,4
24323,408.498,407.989372,58,DistractorOff,5
24449,410.5981,410.089469,58,TargetOn,6
24455,410.698,410.189374,58,Choice,7
24549,412.2646,411.755987,59,TrialOn,1
24613,413.3318,412.823156,59,SampleOn,2
24642,413.8152,413.306501,59,SampleOff,3
24677,414.3992,413.890558,59,DistractorOn,4
24707,414.8984,414.389769,59,DistractorOff,5
24832,416.9824,416.473719,59,TargetOn,6
24837,417.0659,416.557222,59,Choice,7
